Grouped_commodity,Commodity,Country,Forced Labor,Child Labor,Doc_Source1,Doc_Source2,Tier,Year,TierNum,,,,,,,,,,,,,,,,
Agriculture,Açaí Berries,Brazil,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Artificial Flowers,China,FL,,Department of Labor 2022,,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Bamboo,Myanmar,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Bamboo,Viet nam,FL,,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Bananas,Belize,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Bananas,Brazil,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Bananas,Ecuador,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Bananas,Nicaragua,,CL,Department of Labor 2022,Verite,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Bananas,Philippines,,CL,Department of Labor 2022,Verite,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Beans,Afghanistan,,CL,Verite,,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Beans,Mexico,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Beans,Myanmar,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Beans,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Beans,Turkey,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Blueberries,Argentina,,CL,Department of Labor 2022,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Broccoli,Guatemala,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cabbages,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Carrots,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cereal Grains,El Salvador,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Chile Peppers,Mexico,FL,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Citrus,Belize,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Citrus,Turkey,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Citrus,United States,FL,CL,Verite,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Cloves,Tanzania,,CL,Department of Labor 2022,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Coca (stimulant plant),Colombia,FL,CL,Department of Labor 2022,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Coca (stimulant plant),Peru,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Brazil,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Cameroon,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Congo,FL,,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Ghana,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Guinea,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Ivory Coast,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Nigeria,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Sierra Leone,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Togo,FL,,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coconuts,Philippines,,CL,Department of Labor 2022,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Coffee,Brazil,FL,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Colombia,,CL,Department of Labor 2022,Verite,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Coffee,Costa Rica,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Dominican Republic,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,El Salvador,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Guatemala,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Guinea,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Coffee,Honduras,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Ivory Coast,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Kenya,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Mexico,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Nicaragua,,CL,Department of Labor 2022,Verite,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Coffee,Panama,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Sierra Leone,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Tanzania,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Coffee,Togo,FL,,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Uganda,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Coffee,Viet nam,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Corn,Bolivia,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Corn,Brazil,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Corn,Guatemala,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Corn,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Corn,Philippines,,CL,Department of Labor 2022,Verite,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Corn,United States,,CL,Verite,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Cucumbers,Mexico,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cumin,Turkey,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Eggplants,Mexico,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Flowers,Afghanistan,,CL,Verite,,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Flowers,Ecuador,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Flowers,India,FL,,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Flowers,Myanmar,FL,,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Flowers,United States,FL,,Verite,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Fruits (Pome and Stone) ,Colombia,,CL,Department of Labor 2022,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Garlic,Argentina,,CL,Department of Labor 2022,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Grapes,Argentina,,CL,Department of Labor 2022,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Grapes,Colombia,,CL,Department of Labor 2022,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Hazelnuts,Turkey,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Khat,Ethiopia,,CL,Department of Labor 2022,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Khat/Miraa (stimulant plant),Kenya,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Lettuce,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Manioc/Cassava,Brazil,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Manioc/Cassava,Cambodia,,CL,Department of Labor 2022,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Manioc/Cassava,Nigeria,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Manioc/Cassava,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Melons,Honduras,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Melons,Mexico,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Melons,Panama,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Melons,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Melons,United States,,CL,Verite,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Nuts,Bolivia,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Nuts,Brazil,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Nuts,Guinea,,CL,Department of Labor 2022,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Nuts,Myanmar,FL,,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Nuts,Peru,FL,,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Nuts,Turkey,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Nuts,Viet nam,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Olives,Argentina,,CL,Department of Labor 2022,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Onions,Mexico,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Onions,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Palm Fruit,Indonesia,FL,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Palm Fruit,Malaysia,FL,CL,Department of Labor 2022,,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Palm Fruit,Sierra Leone,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Palm Oil,Ecuador,FL,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Palm Oil,Indonesia,FL,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Palm Oil,Malaysia,FL,CL,Verite,,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Palm Oil,Myanmar,FL,,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Palm Oil,Sierra Leone,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Palm Thatch,Myanmar,FL,,Department of Labor 2022,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Peanuts,Bolivia,FL,,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Peanuts,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Peanuts,Turkey,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Pepper,Viet nam,,CL,Department of Labor 2022,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Peppers,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Pineapple,Brazil,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Pineapple,Costa Rica,FL,,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Pineapple,Ivory Coast,FL,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Pineapple,Thailand,FL,,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Pineapple,United States,FL,,Verite,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Pineapples,Brazil,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Poppies,Afghanistan,,CL,Department of Labor 2022,,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Poppies,Mexico,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Potatoes,Lebanon,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Pulses (legumes),Turkey,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Rice,Brazil,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Rice,Dominican Republic,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Rice,Ecuador,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Rice,Ghana,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Rice,India,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Rice,Kenya,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Rice,Mali,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Rice,Myanmar,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Rice,Pakistan,,CL,Department of Labor 2022,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Rice,Philippines,,CL,Department of Labor 2022,Verite,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Rice,Uganda,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Rice,Viet nam,,CL,Department of Labor 2022,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Rubber,Cambodia,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Rubber,Indonesia,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Rubber,Ivory Coast,FL,,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Rubber,Liberia,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Rubber,Malaysia,FL,,Verite,,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Rubber,Myanmar,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Rubber,Philippines,,CL,Department of Labor 2022,Verite,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Rubber,Viet nam,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Sesame,Myanmar,FL,,Department of Labor 2022,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Sesame,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Strawberries,Argentina,,CL,Department of Labor 2022,Verite,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Strawberries,United States,,CL,Verite,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Sugar,Belize,,CL,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Sugar,Bolivia,FL,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugar,Brazil,FL,,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugar,Cambodia,,CL,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Sugar,Colombia,,CL,Verite,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Sugar,Dominican Republic,FL,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugar,El Salvador,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugar,Guatemala,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugar,India,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugar,Kenya,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugar,Mexico,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugar,Myanmar,FL,CL,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Sugar,Pakistan,FL,,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Sugar,Panama,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugar,Paraguay,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugar,Philippines,,CL,Verite,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Sugar,Thailand,,CL,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Sugar,Uganda,,CL,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Sugar,Viet nam,,CL,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Sugar Beets,Turkey,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugarcane,Belize,,CL,Department of Labor 2022,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Sugarcane,Bolivia,FL,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Sugarcane,Brazil,FL,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
